topic,topic_label_ko,after,before,delta,abs_delta
topic_2,[라벨 검토 필요],0.136690,0.134806,0.001884,0.001884
topic_4,[라벨 검토 필요],0.235831,0.234184,0.001647,0.001647
topic_6,[라벨 검토 필요],0.116358,0.115232,0.001126,0.001126
topic_7,[라벨 검토 필요],0.125931,0.125603,0.000328,0.000328
topic_1,[라벨 검토 필요],0.114592,0.114447,0.000145,0.000145
topic_3,[라벨 검토 필요],0.155068,0.157281,-0.002213,0.002213
topic_5,[라벨 검토 필요],0.115530,0.118447,-0.002917,0.002917

